id,should_trigger,expected_depth,expected_phase,expected_architecture_review,prompt,rationale
t01,true,full,integrate,required,"Implement real-time indoor localization from an egocentric video stream and choose the best method for our hardware.","High-impact CV selection changes the perception pipeline and requires architecture review before validation and integration."
t02,true,full,integrate,required,"Add a production-ready PDF extraction pipeline to this Python service.","A production pipeline changes dependencies, data flow, failure handling, and operational boundaries."
t03,true,full,integrate,required,"Which visual grounding model should we use for low-latency bounding-box anchoring, and can you integrate it?","ML/CV selection affects model serving, frame flow, resources, and interfaces."
t04,true,full,integrate,required,"Design and implement a caching layer for this service.","Caching changes state ownership, consistency, failure modes, deployment, and invalidation architecture."
t05,true,full,search,optional,"Find the current SOTA approach for long-video understanding that can run on one 24 GB GPU.","Explicit SOTA research with a compute constraint; architecture review is optional unless a repository integration design is requested."
t06,true,full,integrate,required,"Add authentication to this Next.js application using the most mature option.","Security-sensitive integration changes trust boundaries, middleware, sessions, and data flow."
t07,true,full,integrate,required,"Choose a vector database for this repository and migrate the current local index.","Long-lived infrastructure, schema, deployment, ownership, migration, and rollback decision."
t08,true,full,integrate,required,"Improve inference throughput; first determine whether batching, quantization, a serving engine, or a different model is the right approach.","Performance work can change serving topology, queues, contracts, resource placement, and failure behavior."
t09,true,full,search,optional,"We need a robust retry and circuit-breaker strategy for calls to external services.","Reliability pattern research is required; architecture review becomes required only if service boundaries or failure domains change materially."
t10,true,full,search,optional,"Before building this feature, check whether the repo or ecosystem already has a maintained implementation.","Explicit research-before-code request; architecture review depends on the selected candidate and proposed integration."
t11,false,skip,none,none,"Fix the typo in the README heading.","Trivial copy edit."
t12,false,skip,none,none,"Rename local variable tmp to parsed_result in this function.","Mechanical local rename."
t13,false,skip,none,none,"Format this file with the repository formatter.","No implementation or architecture choice."
t14,false,skip,none,none,"Add unit tests for the existing parse_config function without changing behavior.","Tests for an already-selected implementation."
t15,false,skip,none,none,"The failing test expects port 8081 but the fixture now uses 8080; correct the assertion.","Localized bug with established cause and fix."
t16,false,skip,none,none,"Explain how the current request router works.","Read-only explanation, not a new selection or architecture decision."
t17,false,skip,none,none,"Refactor these duplicated conditionals into the existing helper without changing behavior.","Pure refactor using an existing abstraction."
t18,false,skip,none,none,"Use the already-approved library acme-auth v3 and wire its documented middleware into this route.","The method and version are fixed and no compatibility uncertainty is stated."
t19,false,skip,none,none,"Update the button label from Start to Begin.","Trivial UI copy change."
t20,false,skip,none,none,"Revert the last commit.","Version-control operation, not method selection."
t21,true,full,search,required,"Research the strongest current approaches for streaming egocentric localization, propose how the leader would fit this repository, and have an architect score compatibility. Do not implement.","Explicit Research-only endpoint with a required architecture review and no production changes."
t22,true,full,validate,required,"Compare candidate speech-recognition pipelines, architecture-review the proposed streaming design, then run an isolated feasibility spike on our target GPU. Stop before integration.","Explicit research, Architecture Review Gate, and Feasibility validation endpoint."
t23,true,full,integrate,required,"Research the best maintained retrieval stack, review its component and data-contract fit, validate it on representative traffic, and if every gate passes integrate it into the service.","Explicit full staged pipeline with architecture and feasibility gates."
t24,true,quick,search,optional,"Research only: compare maintained Markdown dead-link checkers for this repository, but do not install anything.","Low-risk package comparison should use Quick mode; architecture review is optional and likely unnecessary."
t25,true,full,validate,required,"Use the existing research verdict if it is still current, run the Architecture Review Gate for the recommended vision model, validate it on representative clips, and do not integrate it yet.","Resume with architecture and feasibility work while checking freshness."
t26,true,full,integrate,required,"The selected candidate has passed research and architecture review. Validate the remaining conditions, then integrate the reviewed boundary and preserve its acceptance benchmark.","Resume at validation and Integration using prior phase handoffs."
t27,true,full,search,required,"Have an architecture expert review and score whether the proposed event-driven pipeline fits the current services, schemas, deployment topology, failure model, and ownership. Do not implement.","Explicit architecture-review-only request with a Research-only production boundary."
t28,true,full,search,required,"No separate architect subagent is available. Perform a clearly labeled same-agent structured architecture review of the proposed model-serving design, include hard blockers and a 0-100 compatibility score, and stop before validation.","Tests the truthful reviewer fallback and architecture-review-only endpoint."
